Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014818,"£3,437",145426
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4014832,"£3,358",127553
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IBM UNITED KINGDOM LTD,4014562,"£3,337",131441
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DUNDAS & WILSON LLP,4015153,"£3,217",21827
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,MET OFFICE,4014814,"£3,167",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (ACCOR SERVICES),4014984,"£3,119",33726
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Public Relations and Marketing,National Climate Change & Consumer Support - Communications,OUTSOURCE FINANCIALS LTD,4014616,"£3,060",37614
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Public Relations and Marketing,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,XCHANGETEAM GROUP LTD,4014587,"£2,976",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014821,"£2,938",145426
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4014848,"£2,904",29893
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PROJECT MANAGEMENT SUPPORT SERVICES LTD (PMSS),4014900,"£2,894",37234
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,ORGANISATION FOR THE PROHIBITION OF CHEMICAL WEAPONS OPCW,4014149,"£2,873",127769
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4014473,"£2,849",106389
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014801,"£2,843",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4015007,"£2,785",145114
