Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017048,£542,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016360,£542,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016353,£534,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016329,£530,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4016411,£527,124446
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017049,£523,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Other Staff Costs,Energy & Climate Change International - International Climate Change Negotiations,CHATHAM HOUSE ENTERPRISES LTD,4016729,£521,11276
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Other Staff Costs,Energy & Climate Change International - International Climate Change Negotiations,CHATHAM HOUSE ENTERPRISES LTD,4016729,£521,11276
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Other Staff Costs,Energy & Climate Change International - International Climate Change Negotiations,CHATHAM HOUSE ENTERPRISES LTD,4016729,£521,11276
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Other Staff Costs,Energy & Climate Change International - International Climate Change Negotiations,CHATHAM HOUSE ENTERPRISES LTD,4016729,£521,11276
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Other Staff Costs,Energy & Climate Change International - International Climate Change Negotiations,CHATHAM HOUSE ENTERPRISES LTD,4016729,£521,11276
Department For Energy and Climate Change,Department For Energy and Climate Change,26/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4017007,£520,157019
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,Reed Personnel Services Ltd,4016749,£519,163531
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016797,£511,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,KAPLAN FINANCIAL LTD,4016380,£510,18879
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016778,£503,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016330,£502,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016559,£502,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016954,£502,105278
