,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026484,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026485,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026486,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026487,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026488,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026489,"12,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026490,"12,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026491,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4026492,"28,881.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4026498,"46,910.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4026499,560.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026500,"1,328.35 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4026501,"12,023.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,External Legal Advice and Services,Operations - Legal,BRICK COURT CHAMBERS,4026502,"2,850.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026504,799.06 
